r	s	t	A	B	C
dc	dc	dc	0,1,0,1	0,1,2,3	2,3,0,1
dc	dc	ec	0,1,0,1	0,1,2,3	1,2,0,1
dc	dc	po	0,1,0,2	2,3,0,1	0,1,1,3
dc	dc	eq	0,1,0,1	0,1,2,3	0,1,0,1
dc	dc	tpp	0,1,0,1	0,1,2,3	0,2,0,1
dc	dc	ntpp	1,2,1,2	0,1,4,5	0,3,0,3
dc	dc	tppi	0,1,0,2	2,3,0,1	0,1,0,1
dc	dc	ntppi	0,3,0,3	0,1,4,5	1,2,1,2
dc	ec	dc	0,1,0,1	0,1,2,3	1,2,2,3
dc	ec	ec	0,1,0,1	0,1,2,3	0,1,1,2
dc	ec	po	0,1,0,2	2,3,0,1	0,2,0,1
dc	ec	tpp	0,1,0,1	0,1,2,3	0,1,0,2
dc	ec	ntpp	1,2,1,2	0,1,3,4	0,3,0,3
dc	po	dc	0,1,0,1	0,2,2,3	1,3,2,3
dc	po	ec	0,1,0,1	0,2,2,3	0,1,1,3
dc	po	po	0,1,0,2	2,3,0,2	0,3,0,1
dc	po	tpp	0,1,0,1	0,2,2,3	0,1,0,3
dc	po	ntpp	1,2,1,2	2,4,3,4	0,3,0,4
dc	tpp	dc	0,1,0,1	0,1,2,3	0,2,2,3
dc	tpp	ec	0,1,0,1	0,1,2,3	0,1,1,3
dc	tpp	po	0,1,0,2	2,3,0,1	0,3,0,1
dc	tpp	tpp	0,1,0,1	0,1,2,3	0,1,0,3
dc	tpp	ntpp	1,2,1,2	0,1,3,4	0,3,0,4
dc	ntpp	dc	0,1,0,1	1,2,3,4	0,3,2,5
dc	ntpp	ec	0,1,0,1	1,2,2,3	0,3,1,4
dc	ntpp	po	0,1,0,2	2,3,2,3	0,4,1,4
dc	ntpp	tpp	0,1,0,1	1,2,2,3	0,3,0,4
dc	ntpp	ntpp	1,2,1,2	1,2,3,4	0,3,0,5
dc	tppi	dc	0,1,0,1	0,2,2,3	0,1,2,3
dc	ntppi	dc	0,1,0,1	0,3,2,5	1,2,3,4
ec	ec	dc	0,1,0,1	0,1,1,2	0,1,2,3
ec	ec	ec	0,1,0,1	0,1,1,2	1,2,0,1
ec	ec	po	0,1,0,2	1,2,0,1	0,2,1,2
ec	ec	eq	0,1,0,1	0,1,1,2	0,1,0,1
ec	ec	tpp	0,1,0,1	0,1,1,2	0,2,0,1
ec	ec	tppi	0,1,0,2	1,2,0,1	0,1,0,1
ec	po	dc	0,1,0,1	0,1,1,3	0,2,2,3
ec	po	ec	0,1,0,1	0,2,1,2	1,2,0,2
ec	po	po	0,1,0,2	1,2,0,2	0,2,0,1
ec	po	tpp	0,1,0,1	0,2,1,2	0,1,0,2
ec	po	ntpp	1,2,1,2	0,1,2,4	0,3,0,3
ec	tpp	ec	0,1,0,1	0,1,1,2	0,2,1,2
ec	tpp	po	0,1,0,2	1,2,0,1	0,2,0,1
ec	tpp	tpp	0,1,0,1	0,1,1,2	0,1,0,2
ec	tpp	ntpp	1,2,1,2	0,1,0,1	0,3,0,3
ec	ntpp	po	0,1,0,2	1,2,2,3	0,3,1,4
ec	ntpp	tpp	0,1,0,1	1,2,1,2	0,3,0,3
ec	ntpp	ntpp	1,2,1,2	1,2,2,3	0,3,0,4
ec	tppi	dc	0,1,0,1	0,1,1,3	0,1,2,3
ec	tppi	ec	0,1,0,1	0,2,1,2	0,1,1,2
ec	ntppi	dc	0,1,0,1	0,3,1,4	1,2,2,3
po	po	dc	0,1,0,2	0,3,0,1	2,3,0,2
po	po	ec	0,1,0,2	0,2,0,1	1,2,0,2
po	po	po	0,1,0,2	0,2,1,2	0,1,1,3
po	po	eq	0,1,0,2	0,2,0,1	0,1,0,2
po	po	tpp	0,1,0,2	0,2,0,1	0,1,0,3
po	po	ntpp	1,2,1,3	1,4,1,2	0,3,0,4
po	po	tppi	0,2,0,2	0,1,1,3	0,1,0,2
po	po	ntppi	0,3,0,4	1,4,1,2	1,2,1,3
